適用規格,調査名,調査目的,調査対象,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進角度,掘進方向,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,岩石土区分_岩石土記号,岩石土区分_岩石,色調_下端深度,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,孔内水位_孔内水位,バージョン変換情報,調査期間_開始年月日,ハンマー落下用具_コード,色調_色調名,標準貫入試験_備考,岩石土区分_岩相,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_変形係数,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_透水係数,P波試験_上端深度,P波試験_速度,P波試験_下端深度,孔内水平載荷試験_降伏圧,事業工事名,ボーリング名,ボーリング総数,取得方法コード,読取精度コード,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,地盤勾配,試錐機_名称,試錐機_方法,エンジン_名称,ハンマー落下用具_名称,N値記録用具_コード,N値記録用具_名称,ポンプ_名称,観察記事_上端深度,観察記事_下端深度,観察記事_記事,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_区分,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,送水条件_送水種類,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,観察記事枠線_下端深度,相対密度稠度_下端深度,相対密度_コード,相対稠度_コード,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_説明,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_説明,孔内水位_掘削状況,孔内水位_水位種別備考,孔径孔壁保護_孔壁保護方法,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,相対稠度_状態,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,相対密度_状態,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,試錐機_能力,エンジン_能力,エンジン_単位,ポンプ_能力,ポンプ_単位,座標定義,座標,櫓種類コード,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,孔径孔壁保護_孔壁保護実施理由,保孔管_下端深度,保孔管_種別コード,孔内水平載荷試験_載荷パターン,S波試験_上端深度,S波試験_下端深度,試料採取_試験名
JIS A 0206-2008,吉河地質調査作業,01,05,3,136,4,51.244,35,38,2.227,1,5336,30,66,国土交通省 近畿地方整備局 福井河川国道事務所,1982-07-00,株式会社田中地質コンサルタント,11.91,10.5,1,,0,10.5,礫,1,G,531111000,10.5,10.15,43,30,1.85,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,国道１６１号湖北バイパス（今津地区）地質調査作業,01,05,2,136,1,14.691,35,25,8.61,1,5336,10,01,国土交通省 近畿地方整備局 滋賀国道事務所,1977-02-00,中央開発株式会社,108.22,10,1,,0,10,礫,1,G,531111000,10,10.15,50,15,8.6,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,国道１６１号湖北バイパス（今津地区）地質調査作業,01,05,8,136,1,17.392,35,24,49.312,1,5336,00,91,国土交通省 近畿地方整備局 滋賀国道事務所,1977-02,中央開発株式会社,105.04,19,1,,0,19,砂質シルト,1,MS,532110020,19,19.15,51,20,2.7,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,美浜東ＢＰ山上地区地質調査業務,01,01,23,135,58,31.381,35,36,45.126,1,5335,37,38,国土交通省 近畿地方整備局 福井河川国道事務所,2000-01,応用地質株式会社,28.23,10.5,1,,0,10.5,表土,1,SF,,10.5,10.15,28,30,0.9,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,美浜東Ｂ・Ｐ佐田トンネル他地質調査業務,01,05,7,135,59,38.973,35,37,33.922,1,5335,37,59,国土交通省 近畿地方整備局 福井河川国道事務所,1999-02-00,株式会社　帝国コンサルタント,56.96,8,2,,0,8,軟岩・風化岩,1,GF,531100000,8,8,50,3,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,4,暗灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,下生田土質調査,01,05,2,136,13,5.649,36,1,27.677,1,5436,01,27,国土交通省 近畿地方整備局 福井河川国道事務所,1968-10,サンコ―コンサルタント株式会社,7.44,25.1,1,,0,25.1,礫質土,1,GF,531100000,25.1,23,99,10,0.35,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,貫入不能,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,国道２７号線舞鶴横断橋その他地質調査,01,05,1,135,22,21.79,35,28,34.531,1,5335,12,79,国土交通省 近畿地方整備局 福知山河川国道事務所,1974-01-00,（株）オリエンタルコンサルタンツ,,17.5,1,,0,17.5,岩盤,1,V,999040001,17.5,17.15,51,30,1.7,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,永平寺大野道路中津川地区地質調査業務,01,01,5,136,30,1.362,36,0,7.211,1,5436,04,00,国土交通省 近畿地方整備局 福井河川国道事務所,1999-11-00,川崎地質株式会社　関西支社,163.75,16.26,1,,0,16.26,砂質土,1,SF,531200000,16.26,16.15,60,11,2.08,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,3,褐灰,,599200003,6.75,03,,40.1,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,馬渡橋測量乃地質調査,08,20,8,136,14,47.518,35,25,43.926,1,5336,11,19,国土交通省 近畿地方整備局 滋賀国道事務所,1964-08,パシフィック．コンサルタンツ株式会社,96.13,25,1,0,0,25,粘性土,1,C,532100000,25,,,,2.6,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,暗灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,馬渡橋測量乃地質調査,08,20,11,136,14,48.518,35,25,42.226,1,5336,11,19,国土交通省 近畿地方整備局 滋賀国道事務所,1964-08,パシフィック．コンサルタンツ株式会社,90.72,26,1,0,0,26,粘性土,1,C,532100000,26,,,,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,暗灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
