適用規格,調査名,調査目的,調査対象,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進角度,掘進方向,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,岩石土区分_岩石土記号,岩石土区分_岩石,色調_下端深度,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,孔内水位_孔内水位,バージョン変換情報,調査期間_開始年月日,ハンマー落下用具_コード,色調_色調名,標準貫入試験_備考,岩石土区分_岩相,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_変形係数,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_透水係数,P波試験_上端深度,P波試験_速度,P波試験_下端深度,孔内水平載荷試験_降伏圧,事業工事名,ボーリング名,ボーリング総数,取得方法コード,読取精度コード,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,地盤勾配,試錐機_名称,試錐機_方法,エンジン_名称,ハンマー落下用具_名称,N値記録用具_コード,N値記録用具_名称,ポンプ_名称,観察記事_上端深度,観察記事_下端深度,観察記事_記事,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_区分,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,送水条件_送水種類,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,観察記事枠線_下端深度,相対密度稠度_下端深度,相対密度_コード,相対稠度_コード,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_説明,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_説明,孔内水位_掘削状況,孔内水位_水位種別備考,孔径孔壁保護_孔壁保護方法,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,相対稠度_状態,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,相対密度_状態,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,試錐機_能力,エンジン_能力,エンジン_単位,ポンプ_能力,ポンプ_単位,座標定義,座標,櫓種類コード,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,孔径孔壁保護_孔壁保護実施理由,保孔管_下端深度,保孔管_種別コード,孔内水平載荷試験_載荷パターン,S波試験_上端深度,S波試験_下端深度,試料採取_試験名
JIS A 0206-2008,新保地区設計資料作成作業,08,09,1,136,8,47.448,36,12,15.096,1,5436,21,41,国土交通省 近畿地方整備局 福井河川国道事務所,1986-06,ジビル調査設計株式会社,0.2,10.5,1,0,0,10.5,シルト混り礫質土,1,SF,531200000,10.5,10.15,13,30,0.1,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,美浜東Ｂ．Ｐ上野高架橋他地質調査業務,01,05,17,135,59,21.575,35,37,7.325,1,5335,37,49,国土交通省 近畿地方整備局 福井河川国道事務所,1998-11-00,株式会社国土開発センタ－,50.01,21.44,1,,0,21.44,粘土質礫質土,1,GF,531100000,21.44,21.15,50,29,2.8,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,4,褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,飯浦地区地質調査他１ヶ所作業,01,01,3,136,10,52.529,35,30,16.989,1,5336,21,04,国土交通省 近畿地方整備局 滋賀国道事務所,1994-10,住鉱コンサルタント株式会社,88.47,13,1,,0,13,礫質土,1,GF,531100000,13,13.15,50,30,1.2,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,８号大谷地区防災詳細設計その２業務,01,16,1,136,6,19.518,35,46,25.971,1,5336,50,28,国土交通省 近畿地方整備局 福井河川国道事務所,1991-07,ジビル調査設計株式会社,136.1,15,2,,0,15,礫質土,1,GF,531100000,15,3.05,60,4,9.7,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,下真砂ボーリング工事,08,06,10,136,8,36.447,36,12,59.291,1,5436,21,51,国土交通省 近畿地方整備局 福井河川国道事務所,1967-03,梶谷調査工事（株）,0.59,10.2,2,,0,16.2,軟岩・風化岩,1,G,531111000,16.2,15.2,99,30,0,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,暗青灰,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,下真砂ボーリング工事,08,06,4,136,8,33.847,36,13,3.79,1,5436,21,61,国土交通省 近畿地方整備局 福井河川国道事務所,1967-03-00,梶谷調査工事（株）,1.19,24.2,2,,0,24.2,砂,1,S,531211000,24.2,24.13,50,7,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,4,暗青灰,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,油坂道路地質調査作業,01,02,1,136,49,41.776,35,52,26.293,1,5336,66,46,国土交通省 近畿地方整備局 福井河川国道事務所,1980-12,株式会社応用地質調査事務所,665.33,15,2,,0,15,岩盤,1,M-O,999040001,15,,,,10.8,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,高島バイパス（新旭町）土質調査,01,02,6,136,2,47.891,35,21,21.438,1,5336,00,23,国土交通省 近畿地方整備局 滋賀国道事務所,1979-07,株式会社ダイヤコンサルタント,86.65,11.5,1,,0,11.5,砂,1,S,531211000,11.5,11.15,51,30,0.8,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,暗褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,油坂峠道路越佐地区地質調査業務,01,05,5,136,51,4.269,35,52,21.296,1,5336,66,48,国土交通省 近畿地方整備局 福井河川国道事務所,1994-01,川崎地質株式会社,481.94,22,2,188,45,22,軟岩・風化岩,1,,,22,,,,16.4,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,3,褐灰,,,10.25,03,79.13,4806.08,20.5,22,01,0.00151,18,2000,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,今津地区地質調査作業,01,05,16,136,1,52.193,35,22,58.026,1,5336,00,52,国土交通省 近畿地方整備局 滋賀国道事務所,1972-07,株式会社ダイヤコンサルタント,91.67,28.45,1,,0,28.45,粘性土,1,C,532100000,28.45,28.15,29,30,0.5,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,中部縦貫勝山地区地質調査業務,01,01,4,136,27,57.465,36,3,43.883,1,5436,03,77,国土交通省 近畿地方整備局 福井河川国道事務所,1998-09,復建調査設計株式会社大阪支社,107.64,24,1,,0,24,粘土混り礫質土,1,C,532100000,24,24.15,50,26,2.4,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,3,黄褐,,,7,01,2.81,115.56,,,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,国道１６１号湖北バイパス（今津地区）地質調査作業,01,05,1,136,1,3.692,35,25,26.908,1,5336,10,01,国土交通省 近畿地方整備局 滋賀国道事務所,1977-02,中央開発株式会社,108.65,12,1,,0,12,玉石混り礫,1,G-B,521111000,12,12.15,50,3,6.1,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,真倉及一ノ瀬地区地質調査作業,01,11,1,135,19,39.813,35,24,29.256,1,5335,02,86,国土交通省 近畿地方整備局 福知山河川国道事務所,1973-08,中央復建コンサルタンツ株式会社,61.3,21.1,2,,0,21.1,岩盤,1,SF,999040001,21.1,19.5,50,2,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,湯坂６．７号橋地質調査作業,01,11,7,136,50,32.872,35,51,51.899,1,5336,66,37,国土交通省 近畿地方整備局 福井河川国道事務所,1989-03,川崎地質株式会社,530,30,2,,0,30,軟岩・風化岩,1,SF,,30,16.1,50,5,20.85,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,3,淡黄緑灰,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,永平寺大野道路　栗住波地区他地質調査業務,01,05,12,136,27,37.867,36,3,44.083,1,5436,03,76,国土交通省 近畿地方整備局 福井河川国道事務所,2000-01-00,梶谷エンジニア株式会社,109.04,24.15,2,,0,24.15,軟岩・風化岩,1,SF,,24.15,24.1,50,5,3.1,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,3,黄褐,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,長泉寺地区地質調査作業,01,05,3,136,11,26.468,35,57,10.204,1,5336,71,45,国土交通省 近畿地方整備局 福井河川国道事務所,1989-03-00,（株）田中地質コンサルタント,14.02,34.33,1,,0,34.33,砂質粘性土,1,G,531111000,34.33,34.15,60,18,0.45,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,大谷地区地質調査業務,15,12,3,136,5,30.02,35,47,46.961,1,5336,50,57,国土交通省 近畿地方整備局 福井河川国道事務所,1992-06,（株）田中地質コンサルタント,197.78,7,2,,0,7,軟岩・風化岩,1,M,532110000,7,5.15,60,18,4.9,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,上杉地質調査,02,01,2,135,18,57.423,35,21,32.675,1,5335,02,35,国土交通省 近畿地方整備局 福知山河川国道事務所,1971-07-00,東建地質調査株式会社,95.35,10.21,2,,0,10.21,岩盤,1,G,999040001,10.21,10.15,50,6,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,中部縦貫勝山地区地質調査業務,01,01,6,136,28,6.365,36,3,38.984,1,5436,03,77,国土交通省 近畿地方整備局 福井河川国道事務所,1998-09-00,復建調査設計株式会社大阪支社,110.08,24,1,,0,24,粘土混り礫質土,1,C,532100000,24,24.05,50,5,0,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,3,暗褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,巣原川堰堤地質調査,09,10,6,136,27,29.396,35,51,1.67,1,5336,63,26,国土交通省 近畿地方整備局 福井河川国道事務所,1979-10-00,開発産業株式会社,598.92,6,2,,0,6,中硬岩,1,MR,999010003,6,,,,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,暗緑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,百瀬川橋下部工事に伴う地質調査,01,05,1,136,2,27.08,35,27,26.396,1,5336,10,43,国土交通省 近畿地方整備局 滋賀国道事務所,1980-09,株式会社ソイルエンジニアリング,87.96,26.45,1,,0,26.45,砂,1,S,531211000,26.45,26.15,44,30,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,真倉地区地質調査作業,01,02,4,135,19,57.811,35,24,57.453,1,5335,02,96,国土交通省 近畿地方整備局 福知山河川国道事務所,1974-01,大建測量設計（株）,14.77,10.05,2,,0,10.05,岩盤,1,SF,999040001,10.05,9,99,2,0.8,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,貫入不能,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,永平寺大野道路轟地区他地質調査業務,01,11,17,136,21,20.397,36,5,8.164,1,5436,12,08,国土交通省 近畿地方整備局 福井河川国道事務所,1998-12-00,中央復建コンサルタンツ株式会社,135.78,27,2,,0,27,軟岩・風化岩,1,MR,999010003,27,2.15,40,30,16.7,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,4,褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,河野パーキング詳細設計に伴う地質調査,01,01,1,136,5,43.519,35,47,28.563,1,5336,50,47,国土交通省 近畿地方整備局 福井河川国道事務所,1992-03,株式会社修成建設コンサルタント,209.37,10,2,,0,10,粘土質高有機質土(腐植土),1,GF,531100000,10,7.15,60,5,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,青灰,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,沓掛スノーステーション土質調査業務,14,01,0005,136,07,38.1000,35,33,50.0000,1,5336,21,70,国土交通省 近畿地方整備局 滋賀国道事務所,2003-05-12,株式会社 ヨコタテック,211.88,8.10,2,,,8.10,花崗岩・軟岩1互層,2,Gr,219122200,8.10,8.00,50,10,6.70,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),2003-05-10,2,淡褐,,599200001,,,,,,,,,,,,,沓掛スノーステーション土質調査業務,No.5,0006,02,1,山戸　武史,川上　正敬,川上　正敬,河野亀雄,0.00,KR-100H,3,NFAD-8,半自動型,2,野張,V5-P,6.80,8.10,岩片状主体\n柱状を呈するが、容易に崩れる\n岩片は比較的硬質、一部非常に脆弱化する,50,10,35,10,1,11,015,E,極軟,マサ状、粘土状。,8.10,014,018,h,採取不可,コアの採取ができないもの。スライムも含む。,8.10,014,8.10,013,8.10,014,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,8.10,013,2003-05-12,1,12,2003-05-12,8.10,7.00,8.00,66,9,8.10,65,8.00,DDB,DB,8.10,1.0,8.10,140,8.10,0.0,1,1,2,-,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,8.10,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和６１年度ダムサイト試錐作業（その２）作業,08,06,1,136,13,44.5,35,36,38.349,1,5336,31,38,国土交通省 近畿地方整備局 丹生ダム工事事務所,1986-09-00,中央開発株式会社,352.72,55,2,,0,55,中硬岩,1,MR,999010003,55,,,,38.25,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,赤紫,,599200003,,,,,50,55,30,0.0000192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,岩出地質調査委託業務,01,13,4,135,58,22.88,35,37,22.422,1,5335,37,47,国土交通省 近畿地方整備局 福井河川国道事務所,1968-10-00,株式会社ダイヤコンサルタント,74.4,75,2,,0,25,岩盤,1,,999040001,25,,,,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,沓掛スノーステーション土質調査業務,14,01,0004,136,07,38.1000,35,33,50.5000,1,5336,21,70,国土交通省 近畿地方整備局 滋賀国道事務所,2003-05-10,株式会社 ヨコタテック,211.76,7.14,2,,,7.14,花崗岩・軟岩1互層,2,Gr,219122200,7.14,7.00,50,14,4.05,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),2003-05-08,2,赤褐～黄灰,,599200001,,,,,,,,,,,,,沓掛スノーステーション土質調査業務,No.4,0006,02,1,山戸　武史,川上　正敬,川上　正敬,河野亀雄,0.00,KR-100H,3,NFAD-8,半自動型,2,野張,V5-P,4.00,7.14,岩片～土砂状\n風化著しく亀裂面は粘土化\n岩片は比較的硬質\n下部は粘土化を呈する,20,10,30,4,13,10,015,E,極軟,マサ状、粘土状。,7.14,014,018,h,採取不可,コアの採取ができないもの。スライムも含む。,7.14,014,7.14,013,7.14,014,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,7.14,013,2003-05-07,1,12,2003-05-10,7.14,5.00,7.00,66,9,7.14,80,7.00,DDB,DB,7.14,1.0,7.14,120,7.14,0.0,2,2,2,-,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,7.14,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,河野パーキング詳細設計に伴う地質調査,01,01,2,136,5,43.519,35,47,28.563,1,5336,50,47,国土交通省 近畿地方整備局 福井河川国道事務所,1992-03,株式会社修成建設コンサルタント,204.55,10,2,,0,10,粘土質高有機質土(腐植土),1,GF,531100000,10,6.15,23,30,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,青灰,,599200003,5,02,0.46,37.52,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,永平寺大野道路轟地区他地質調査業務,01,05,18,136,21,23.397,36,5,7.164,1,5436,12,08,国土交通省 近畿地方整備局 福井河川国道事務所,1998-12-00,中央復建コンサルタンツ株式会社,109.21,15,2,,0,15,軟岩・風化岩,1,,,15,1.15,28,30,8.6,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,4,暗青灰,,,14,01,9.8,1560,,,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,真倉地区地質調査作業,01,02,5,135,19,58.711,35,24,55.853,1,5335,02,96,国土交通省 近畿地方整備局 福知山河川国道事務所,1974-01,大建測量設計（株）,15.36,12.02,2,,0,12.02,岩盤,1,C,999040001,12.02,12,50,2,0.75,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
